site,tortid,sex,year,quarter,status,temperature,rainfall,local_tort_density,local_burrow_density,std_homerange,survey_rate,survey_freq,tort_survey,burrow_count,logistic_count
BSV,136,F,1997,1,T,50.049999999999997,0.17999999999999999,1.6923076923076923,2.0,4.5474735088646412e-13,0.28813559322033899,0.093791440626883674,0.37142857142857144,1,0
BSV,136,F,1997,2,NA,73.5,0.035000000000000003,nan,nan,NA,0.59999999999999998,0.082480781457719199,0.0,0,0
BSV,136,F,1997,3,NA,81.025000000000006,0.33499999999999996,nan,nan,NA,0.75409836065573776,0.071366997867610388,0.0,0,0
BSV,136,F,1998,1,E,52.700000000000003,0.070000000000000007,3.8333333333333335,4.0,2.2737367544323206e-13,0.12068965517241378,0.16905766526019689,0.4,2,1
BSV,136,F,1998,2,E,66.775000000000006,0.40500000000000003,0.16129032258064516,2.193548387096774,0.15599574621095036,0.66386554621848737,0.12378691983122363,0.3875,5,1
BSV,136,F,1998,3,E,81.25,0.90499999999999992,0.61111111111111116,3.8888888888888888,0.28022619104487639,0.61016949152542377,0.11508005317611701,0.2465753424657534,7,1
BSV,136,F,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,136,F,1999,2,E,70.474999999999994,0.40999999999999998,1.7647058823529411,2.1764705882352939,0.067701103978133503,0.52500000000000002,0.104628164556962,0.265625,3,1
BSV,136,F,1999,3,E,83.424999999999997,0.20250000000000001,0.0,4.333333333333333,0.060301209007501036,0.38181818181818183,0.097144539299381855,0.27906976744186046,4,1
BSV,135,F,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,135,F,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,135,F,1996,3,NA,83.275000000000006,0.69499999999999995,nan,nan,NA,0.34745762711864409,0.02883263009845289,0.0,0,0
BSV,135,F,1997,1,T,50.049999999999997,0.17999999999999999,1.0769230769230769,3.8461538461538463,2.8421709430404007e-13,0.28813559322033899,0.093791440626883674,0.37142857142857144,1,0
BSV,135,F,1997,2,NA,73.5,0.035000000000000003,nan,nan,NA,0.59999999999999998,0.082480781457719199,0.0,0,0
BSV,135,F,1997,3,NA,81.025000000000006,0.33499999999999996,nan,nan,NA,0.75409836065573776,0.071366997867610388,0.0,0,0
BSV,135,F,1998,1,NA,52.700000000000003,0.070000000000000007,nan,nan,NA,0.12068965517241378,0.16905766526019689,0.0,0,0
BSV,135,F,1998,2,E,66.775000000000006,0.40500000000000003,0.25,2.0,0.10610495149695259,0.66386554621848737,0.12378691983122363,0.4,4,1
BSV,135,F,1998,3,E,81.25,0.90499999999999992,0.15384615384615385,3.0769230769230771,0.09941772563428769,0.61016949152542377,0.11508005317611701,0.1780821917808219,3,1
BSV,135,F,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,135,F,1999,2,NA,70.474999999999994,0.40999999999999998,nan,nan,NA,0.52500000000000002,0.104628164556962,0.0,0,0
BSV,135,F,1999,3,NA,83.424999999999997,0.20250000000000001,nan,nan,NA,0.38181818181818183,0.097144539299381855,0.0,0,0
